Document no,Date Ordered,Supplier,Product,UOM,Unit Price,Qty Ordered,Line Amt,Discount,Document Status
800147,2025-09-10 16:17:39,Valencia International Trading Company w.l.l.,SUGAR PASTE black 1KG X 12PCS_19006,Each,168,1,168,0,Completed
800147,2025-09-10 16:17:39,Valencia International Trading Company w.l.l.,SUGAR PASTE White 1KG X 12PCS_19007,Each,168,1,168,0,Completed
800148,2025-09-10 16:33:49,Fahed Foods w.l.l.,Frz EG Mixed Vegetables 2.5Kgx4 Hi-Chef_18010,Each,34,3,102,0,Completed
800149,2025-09-10 17:02:47,Packon Trading,Wooden coffee Stirrer Paper Wrapped-14cm - CTN_12028,Each,123,2,246,0,Completed
800149,2025-09-10 17:02:47,Packon Trading,Q Paper Napkins 33x33cm - CTN_12027,Each,61,2,122,0,Completed
800149,2025-09-10 17:02:47,Packon Trading,Handy Fuel 72 pcs / Ctn_12026,Each,97,2,194,0,Completed
800150,2025-09-11 14:23:51,Packon Trading,Kraft Salad Bowl 750ML - CTN_12037,Each,158,2,316,0,Completed
800150,2025-09-11 14:23:51,Packon Trading,M/W Rectangular Cont w/Lid 1000ML - 500pcs_12066,Each,155,1,155,0,Completed
800150,2025-09-11 14:23:51,Packon Trading,Plastic Rectangular Container 1500 - 300pcs_12023,Each,172,2,344,0,Completed
800150,2025-09-11 14:23:51,Packon Trading,Black Base Container 1 Compartment_12044,Each,77,2,154,0,Completed
800150,2025-09-11 14:23:51,Packon Trading,Paper Cup Double Wall 500pcs_12030,Each,100,5,500,0,Completed
800150,2025-09-11 14:23:51,Packon Trading,Black Round Container - RO16_12043,Each,43,2,86,0,Completed
800151,2025-09-14 10:01:31,Tredos Trading,Perfecta Mayonnaise_21011,Each,180,1,180,0,Completed
800151,2025-09-14 10:01:31,Tredos Trading,Mustard Sauce_21026,Each,120,1,120,0,Completed
800152,2025-09-14 10:15:38,BRF,Sadia Whole Chicken 1100 Gms - 10 Pcs/Ctn_16009,Each,99,3,297,0,Completed
800153,2025-09-14 10:27:56,Fahed Foods w.l.l.,Shrimp Frozen 11/15 1 Kg_18028,Each,28,20,560,0,Completed
800153,2025-09-14 10:27:56,Fahed Foods w.l.l.,Fish Filet Frozen - Vietnam 1 Kg_18025,Each,9,20,180,0,Completed
800153,2025-09-14 10:27:56,Fahed Foods w.l.l.,Chicken Breast Aurora 2kgx6_16012,Each,168,1,168,0,Completed
800154,2025-09-14 11:12:44,Ideal Qatar,Aoun Green Lentils 900 Gr 1x20_17022,Each,9,7,63,0,Completed
800154,2025-09-14 11:12:44,Ideal Qatar,Aoun White Kidney Beans 900GR_17016,Each,10.79,12,129.48,0,Completed
800154,2025-09-14 11:12:44,Ideal Qatar,Aoun Lime_17020,Each,10.2,5,51,0,Completed
800154,2025-09-14 11:12:44,Ideal Qatar,Aoun Cumin Powder 500GR_17014,Each,22.53,2,45.06,0,Completed
800154,2025-09-14 11:12:44,Ideal Qatar,Aoun Corriander Powder 500GR_17013,Each,11.64,2,23.28,0,Completed
800154,2025-09-14 11:12:44,Ideal Qatar,Aoun Cinnamon Powder 500GR_17012,Each,14.5,2,29,0,Completed
800154,2025-09-14 11:12:44,Ideal Qatar,Aoun All Spices Powder 500GR_17025,Each,37.5,2,75,0,Completed
800154,2025-09-14 11:12:44,Ideal Qatar,Aoun White Pepper Powder 500GR_17011,Each,41.8,2,83.6,0,Completed
800154,2025-09-14 11:12:44,Ideal Qatar,Aoun 7 Spices 500 GR_17023,Each,27.08,2,54.16,0,Completed
800154,2025-09-14 11:12:44,Ideal Qatar,Happy Gardens Chickpeas 9mm-20 kg_21025,Each,171,2,342,0,Completed
800154,2025-09-14 11:12:44,Ideal Qatar,Happy Gardens Foul Medamas 400gr 1x24_3010,Each,2,48,96,0,Completed
800154,2025-09-14 11:12:44,Ideal Qatar,Happy Gardens Tehina Brl N.W. 10KG_21022,Each,160,1,160,0,Completed
800154,2025-09-14 11:12:44,Ideal Qatar,AOUN RED LENTILS 900GR_17017,Each,8.29,7,58.03,0,Completed
800154,2025-09-14 11:12:44,Ideal Qatar,Aoun Red Round Beans 900GR_17015,Each,11.05,6,66.3,0,Completed
800154,2025-09-14 11:12:44,Ideal Qatar,LEBANON 5283000909763 AOUN PARBOILED RICE 2KG_17002,Each,13.6,10,136,0,Completed
800155,2025-09-15 11:42:56,RealPack,Clorex 4x4ltr_12010,Each,36,1,36,0,Completed
800155,2025-09-15 11:42:56,RealPack,Aluminum Plate 6586 - 100pcs_12013,Each,48,1,48,0,Completed
800155,2025-09-15 11:42:56,RealPack,Nylon Foil_12012,Each,28,2,56,0,Completed
800155,2025-09-15 11:42:56,RealPack,White Plastic bag 20pkt_12015,Each,35,1,35,0,Completed
800155,2025-09-15 11:42:56,RealPack,Maxi 135Mtr 6 pcs_12001,Each,42,5,210,0,Completed
800155,2025-09-15 11:42:56,RealPack,Toilet Roll 10pcs_12002,Each,9,2,18,0,Completed
800155,2025-09-15 11:42:56,RealPack,Tissue Box - 30pcs_12003,Each,48,1,48,0,Completed
800155,2025-09-15 11:42:56,RealPack,RP Kraft Salad Bowl - 75o ML 300pcs_12004,Each,150,2,300,0,Completed
800155,2025-09-15 11:42:56,RealPack,Hair Net Black 1000pcs_12005,Each,38,1,38,0,Completed
800155,2025-09-15 11:42:56,RealPack,Paper Bag 30x25x15 Brown_12006,Each,135,1,135,0,Completed
800155,2025-09-15 11:42:56,RealPack,HD Spoon Black 1000pcs_12008,Each,50,1,50,0,Completed
800155,2025-09-15 11:42:56,RealPack,Paper Bag 35x35x20 Brown_12007,Each,165,1,165,0,Completed
800155,2025-09-15 11:42:56,RealPack,Black Garbage Bag 120x140_12009,Each,55,1,55,0,Completed
